Header,Meter,Sensor,Date,Extra,Errors,Filename
S,S,S,Y,2,,.\Other Files\Data\MDi\MDi_GEM100_K250_Scriber_test_20140411\GEM100@25KHz_36uSec_Pulsewidth_PreTrig_11mSec.csv
S,S,S,Y,2,,.\Other Files\Data\MDi\MDi_GEM100_K250_Scriber_test_20140411\GEM100@25KHz_4uSec_Pulsewidth.csv
S,S,S,Y,2,,.\Other Files\Data\MDi\MDi_GEM100_K250_Scriber_test_20140411\GEM100@one_Scribe_00.csv
S,S,S,Y,2,,.\Other Files\Data\MDi\MDi_GEM100_K250_Scriber_test_20140411\GEM100@one_Scribe_01.csv
S,S,S,Y,2,,.\Other Files\Data\MDi\MDi_GEM100_K250_Scriber_test_20140411\GEM100@one_Scribe_03.csv
S,S,S,Y,2,,.\Other Files\Data\MDi\MDi_GEM100_K250_Scriber_test_20140411\GEM100@one_Scribe_04.csv
S,S,S,Y,2,,.\Other Files\Data\MDi\MDi_GEM100_K250_Scriber_test_20140411\GEM100@one_Scribe_05.csv
S,S,S,Y,2,,.\Other Files\Data\MDi\MDi_GEM100_K250_Scriber_test_20140411\GEM100@one_Scribe_06.csv
S,S,S,Y,2,,.\Other Files\Data\MDi\MDi_GEM100_K250_Scriber_test_20140411\K250@10KHz_30W.csv
S,S,S,Y,2,,.\Other Files\Data\MDi\MDi_GEM100_K250_Scriber_test_20140411\K250@10KHz_30W_truncated.csv
S,S,S,Y,2,,.\Other Files\Data\MDi\MDi_GEM100_K250_Scriber_test_20140411\K250@10KHz_70W.csv
S,S,S,Y,2,,.\Other Files\Data\MDi\MDi_GEM100_K250_Scriber_test_20140411\K250@25KHz_70W.csv
S,S,S,Y,2,,.\Other Files\Data\Panasonic\10 kHz - 15 usec pulses CO2 Snapshot J5.csv
S,S,S,Y,2,,.\Other Files\Data\Panasonic\2 kHz - 50 usec pulses CO2 Snapshot J5.csv
S,S,S,Y,2,,.\Other Files\Data\Panasonic\200Hz - 200 usec pulses CO2 Snapshot J5.csv
S,S,S,Y,2,,.\Other Files\Data\Prima\Prima 150 hz 50 percent duty 665W avg.csv
S,S,S,Y,2,,.\Other Files\Data\Prima\Prima 200 hz 60 percent duty 5000W CW power avg.csv
S,S,S,Y,2,,.\Other Files\Data\Prima\Prima 50 hz 50 percent duty 1830W avg.csv
S,S,S,Y,2,,.\Other Files\Data\Prima\Prima 50 hz 50 percent duty 2654W avg.csv
S,S,S,Y,2,,.\Other Files\Data\Prima\Prima 50 hz 50 percent duty 3190W avg.csv
S,S,S,Y,2,,.\Other Files\Data\Sony\Buffer1.csv
S,S,S,Y,2,,.\Other Files\Data\Sony\Buffer2.csv
S,S,S,Y,2,,.\Other Files\Data\Sony\Buffer3.csv
N,N,N,N,0,,.\Other Files\jb\001 10ms single shot 20150515-1_truncated.csv
S,S,S,Y,2,,.\Other Files\jb\1 kHz - 500 usec pulses CO2 Snapshot.csv
S,S,S,Y,2,,.\Other Files\jb\10 kHz - 10 usec pulses CO2 Snapshot.csv
S,S,S,Y,2,,.\Other Files\jb\10 kHz - 15 usec pulses CO2 Snapshot J5.csv
S,S,S,Y,1,,.\Other Files\jb\100 Hz - 1 msec pulses - 5W avg power - CO2 Snapshot (2).csv
S,S,S,Y,1,,.\Other Files\jb\100 Hz - 1 msec pulses - 5W avg power - CO2 Snapshot.csv
S,S,S,Y,1,,.\Other Files\jb\100W 30 ms long pulse-810 nm High Speed Mode (2).csv
S,S,S,Y,1,,.\Other Files\jb\100W 30 ms long pulse-810 nm High Speed Mode.csv
S,S,S,Y,1,,.\Other Files\jb\150W.csv
S,S,S,Y,1,,.\Other Files\jb\18.1.csv
S,S,S,Y,1,,.\Other Files\jb\18.2.csv
S,S,S,Y,1,,.\Other Files\jb\18.3.csv
S,S,S,Y,1,,.\Other Files\jb\18.4.csv
S,S,S,Y,1,,.\Other Files\jb\18.42W.csv
S,S,S,Y,1,,.\Other Files\jb\19.1.csv
S,S,S,Y,1,,.\Other Files\jb\21.1.csv
S,S,S,Y,1,,.\Other Files\jb\21.2.csv
S,S,S,Y,1,,.\Other Files\jb\24.1.csv
S,S,S,Y,1,,.\Other Files\jb\24.2.csv
S,S,S,Y,1,,.\Other Files\jb\24.3.csv
S,S,S,Y,1,,.\Other Files\jb\24.4.csv
S,S,S,Y,1,,.\Other Files\jb\25.1.csv
S,S,S,Y,1,,.\Other Files\jb\25.2.csv
S,S,S,Y,1,,.\Other Files\jb\26.1.csv
S,S,S,Y,1,,.\Other Files\jb\28.1.csv
S,S,S,Y,2,,.\Other Files\jb\5 kHz - 50 usec pulses CO2 Snapshot.csv
S,S,S,Y,2,,.\Other Files\jb\8 kHz - 10 usec pulses CO2 Snapshot.csv
S,S,S,Y,2,,.\Other Files\jb\8 kHz - 50 usec pulses CO2 Snapshot.csv
S,S,S,Y,2,,.\Other Files\jb\90Hz (2).csv
S,S,S,Y,2,,.\Other Files\jb\90Hz-Quad.csv
S,S,S,Y,2,,.\Other Files\jb\90Hz.csv
S,S,S,Y,2,,.\Other Files\jb\All.csv
S,S,S,Y,2,,.\Other Files\jb\All1.csv
S,S,S,Y,1,,.\Other Files\jb\auto.csv
S,S,S,Y,2,,.\Other Files\jb\baseline5.csv.csv
S,S,S,Y,2,,.\Other Files\jb\baseline6.csv.csv
S,S,S,Y,1,,.\Other Files\jb\binary.csv
S,S,S,Y,2,,.\Other Files\jb\Buffer.csv.csv
S,S,S,Y,2,,.\Other Files\jb\Candela 6.csv
S,S,S,Y,2,,.\Other Files\jb\CountMean6.csv
S,S,S,Y,2,,.\Other Files\jb\CountSkip.csv
S,S,S,Y,2,,.\Other Files\jb\CountSkip1.csv
S,S,S,Y,2,,.\Other Files\jb\CountSkip10.csv
S,S,S,Y,2,,.\Other Files\jb\CountSkip11.csv
S,S,S,Y,2,,.\Other Files\jb\CountSkip12.csv
S,S,S,Y,2,,.\Other Files\jb\CountSkip13.csv
S,S,S,Y,2,,.\Other Files\jb\CountSkip14.csv
S,S,S,Y,2,,.\Other Files\jb\CountSkip15.csv
S,S,S,Y,2,,.\Other Files\jb\CountSkip16.csv
S,S,S,Y,2,,.\Other Files\jb\CountSkip17.csv
S,S,S,Y,2,,.\Other Files\jb\CountSkip18.csv
S,S,S,Y,2,,.\Other Files\jb\CountSkip19.csv
S,S,S,Y,2,,.\Other Files\jb\CountSkip2.csv
S,S,S,Y,2,,.\Other Files\jb\CountSkip20.csv
S,S,S,Y,2,,.\Other Files\jb\CountSkip21.csv
S,S,S,Y,2,,.\Other Files\jb\CountSkip22.csv
S,S,S,Y,2,,.\Other Files\jb\CountSkip23.csv
S,S,S,Y,2,,.\Other Files\jb\CountSkip24.csv
S,S,S,Y,2,,.\Other Files\jb\CountSkip241.csv
S,S,S,Y,2,,.\Other Files\jb\CountSkip243.csv
S,S,S,Y,2,,.\Other Files\jb\CountSkip244.csv
S,S,S,Y,2,,.\Other Files\jb\CountSkip25.csv
S,S,S,Y,2,,.\Other Files\jb\CountSkip26.csv
S,S,S,Y,2,,.\Other Files\jb\CountSkip27.csv
S,S,S,Y,2,,.\Other Files\jb\CountSkip28.csv
S,S,S,Y,2,,.\Other Files\jb\CountSkip29.csv
S,S,S,Y,2,,.\Other Files\jb\CountSkip3.csv
N,N,N,N,0,,.\Other Files\jb\CountSkip31.csv
N,N,N,N,0,,.\Other Files\jb\CountSkip32.csv
S,S,S,Y,2,,.\Other Files\jb\CountSkip33.csv
S,S,S,Y,2,,.\Other Files\jb\CountSkip37.csv
S,S,S,Y,2,,.\Other Files\jb\CountSkip38.csv
S,S,S,Y,2,,.\Other Files\jb\CountSkip39.csv
S,S,S,Y,2,,.\Other Files\jb\CountSkip4.csv
S,S,S,Y,2,,.\Other Files\jb\CountSkip40.csv
N,N,N,N,0,,.\Other Files\jb\CountSkip41.csv
S,S,S,Y,2,,.\Other Files\jb\CountSkip410.csv
N,N,N,N,0,,.\Other Files\jb\CountSkip411.csv
N,N,N,N,0,,.\Other Files\jb\CountSkip412.csv
S,S,S,Y,2,,.\Other Files\jb\CountSkip413.csv
N,N,N,N,0,,.\Other Files\jb\CountSkip414.csv
N,N,N,N,0,,.\Other Files\jb\CountSkip4141.csv
S,S,S,Y,2,,.\Other Files\jb\CountSkip4142.csv
N,N,N,N,0,,.\Other Files\jb\CountSkip4143.csv
N,N,N,N,0,,.\Other Files\jb\CountSkip4144.csv
N,N,N,N,0,,.\Other Files\jb\CountSkip41441.csv
N,N,N,N,0,,.\Other Files\jb\CountSkip41442.csv
S,S,S,Y,2,,.\Other Files\jb\CountSkip41443.csv
N,N,N,N,0,,.\Other Files\jb\CountSkip41444.csv
S,S,S,Y,2,,.\Other Files\jb\CountSkip42.csv
S,S,S,Y,2,,.\Other Files\jb\CountSkip43.csv
N,N,N,N,0,,.\Other Files\jb\CountSkip44.csv
S,S,S,Y,2,,.\Other Files\jb\CountSkip45.csv
N,N,N,N,0,,.\Other Files\jb\CountSkip46.csv
N,N,N,N,0,,.\Other Files\jb\CountSkip47.csv
N,N,N,N,0,,.\Other Files\jb\CountSkip48.csv
N,N,N,N,0,,.\Other Files\jb\CountSkip49.csv
S,S,S,Y,2,,.\Other Files\jb\CountSkip5.csv
S,S,S,Y,2,,.\Other Files\jb\CountSkip6.csv
S,S,S,Y,2,,.\Other Files\jb\CountSkip7.csv
S,S,S,Y,2,,.\Other Files\jb\CountSkip8.csv
S,S,S,Y,2,,.\Other Files\jb\CountSkip9.csv
N,N,N,N,0,,.\Other Files\jb\Dashboard.csv
S,S,S,Y,1,,.\Other Files\jb\data (2).csv
N,N,N,N,0,,.\Other Files\jb\data (3).csv
N,N,N,N,0,,.\Other Files\jb\data (4).csv
S,S,S,Y,1,,.\Other Files\jb\Data 2-19-2014 6.11.59 PM.csv
S,S,S,Y,1,,.\Other Files\jb\Data 2-20-2014 2.06.59 PM.csv
S,S,S,Y,1,,.\Other Files\jb\Data 2-20-2014 2.16.56 PM.csv
S,S,S,Y,1,,.\Other Files\jb\Data 2-20-2014 2.36.54 PM.csv
S,S,S,Y,1,,.\Other Files\jb\Data 2-20-2014 2.40.04 PM.csv
S,S,S,Y,1,,.\Other Files\jb\Data 2-20-2014 3.05.42 PM.csv
S,S,S,Y,1,,.\Other Files\jb\Data 2-24-2014 4.18.38 PM.csv
S,S,S,Y,1,,.\Other Files\jb\Data 2-24-2014 4.28.43 PM.csv
S,S,S,Y,1,,.\Other Files\jb\Data 2-24-2014 5.14.58 PM.csv
N,N,N,N,0,,.\Other Files\jb\Data 2-24-2014 7.00.01 PM.csv
S,S,S,Y,1,,.\Other Files\jb\Data 2-24-2014 7.14.34 PM.csv
S,S,S,Y,1,,.\Other Files\jb\Data 2-25-2014 7.33.14 PM.csv
S,S,S,Y,1,,.\Other Files\jb\Data 2-25-2014 7.33.31 PM.csv
S,S,S,Y,1,,.\Other Files\jb\Data 2-26-2014 2.35.23 PM.csv
N,N,N,N,0,,.\Other Files\jb\Data 2-27-2014 7.46.24 PM.csv
N,N,N,N,0,,.\Other Files\jb\Data 2-28-2014 4.17.10 PM.csv
N,N,N,N,0,,.\Other Files\jb\Data 2-28-2014 4.22.20 PM.csv
N,N,N,N,0,,.\Other Files\jb\Data 2-28-2014 5.38.36 PM.csv
N,N,N,N,0,,.\Other Files\jb\Data 2-28-2014 6.41.00 PM.csv
N,N,N,N,0,,.\Other Files\jb\Data 2-28-2014 6.45.31 PM.csv
N,N,N,N,0,,.\Other Files\jb\Data 2-28-2014 6.45.37 PM.csv
S,S,S,Y,1,,.\Other Files\jb\Data 3-17-2014 12.28.44 PM.csv
S,S,S,Y,1,,.\Other Files\jb\Data 3-17-2014 3.22.00 PM.csv
S,S,S,Y,1,,.\Other Files\jb\Data 3-17-2014 3.40.37 PM.csv
S,S,S,Y,1,,.\Other Files\jb\Data 3-17-2014 3.41.12 PM.csv
S,S,S,Y,1,,.\Other Files\jb\Data 3-17-2014 4.34.36 PM.csv
S,S,S,Y,1,,.\Other Files\jb\Data 3-17-2014 4.44.19 PM.csv
S,S,S,Y,1,,.\Other Files\jb\Data 3-17-2014 4.46.26 PM.csv
S,S,S,Y,1,,.\Other Files\jb\Data 3-17-2014 4.51.40 PM.csv
S,S,S,Y,1,,.\Other Files\jb\Data 3-17-2014 4.58.41 PM.csv
S,S,S,Y,1,,.\Other Files\jb\Data 3-17-2014 5.02.50 PM.csv
S,S,S,Y,1,,.\Other Files\jb\Data 3-17-2014 5.06.55 PM.csv
S,S,S,Y,1,,.\Other Files\jb\Data 3-17-2014 5.08.17 PM.csv
S,S,S,Y,1,,.\Other Files\jb\Data 3-18-2014 1.03.20 PM.csv
S,S,S,Y,1,,.\Other Files\jb\Data 3-18-2014 1.03.33 PM.csv
S,S,S,Y,1,,.\Other Files\jb\Data 3-18-2014 1.04.46 PM.csv
S,S,S,Y,1,,.\Other Files\jb\Data 3-18-2014 1.06.48 PM.csv
S,S,S,Y,1,,.\Other Files\jb\Data 3-18-2014 1.07.19 PM.csv
S,S,S,Y,1,,.\Other Files\jb\Data 3-18-2014 1.10.41 PM.csv
S,S,S,Y,1,,.\Other Files\jb\Data 3-18-2014 1.11.51 PM.csv
S,S,S,Y,1,,.\Other Files\jb\Data 3-18-2014 1.16.35 PM.csv
S,S,S,Y,1,,.\Other Files\jb\Data 3-18-2014 1.21.06 PM.csv
S,S,S,Y,1,,.\Other Files\jb\Data 3-18-2014 4.48.01 PM.csv
S,S,S,Y,1,,.\Other Files\jb\Data 3-18-2014 4.48.26 PM.csv
S,S,S,Y,1,,.\Other Files\jb\Data 3-18-2014 4.48.53 PM.csv
