ABindingInstanceHasAlreadyBeenAssociatedTo1,A binding instance has already been associated to listen URI '{0}'. If two endpoints want to share the same ListenUri, they must also share the same binding object instance. The two conflicting endpoints were either specified in AddServiceEndpoint() calls, in a config file, or a combination of AddServiceEndpoint() and config. 
Argument_EncodingConversionOverflowBytes,The output byte buffer is too small to contain the encoded data, encoding '{0}' fallback '{1}'.
Argument_EncodingConversionOverflowChars,The output char buffer is too small to contain the decoded characters, encoding '{0}' fallback '{1}'.
Argument_EncodingNotSupported,'{0}' is not a supported encoding name.
Argument_EnumTypeDoesNotMatch,The argument type, '{0}', is not the same as the enum type '{1}'.
Argument_FallbackBufferNotEmpty,Cannot change fallback when buffer is not empty. Previous Convert() call left data in the fallback buffer.
Argument_FieldDeclaringTypeGeneric,Cannot resolve field {0} because the declaring type of the field handle is generic. Explicitly provide the declaring type to GetFieldFromHandle.
Argument_FrameworkNameInvalid, FrameworkName is invalid.
Argument_FrameworkNameInvalidVersion,FrameworkName version component is invalid.
Argument_FrameworkNameMissingVersion,FrameworkName version component is missing.
Argument_FrameworkNameTooShort,FrameworkName cannot have less than two components or more than three components.
Argument_GEMinusOne1,Argument '{0}' must be greater than or equal to -1.
Argument_GenericArgsCount,The number of generic arguments provided doesn't equal the arity of the generic type definition.
Argument_GEOne1,Argument '{0}' must be greater than or equal to 1.
Argument_GEZero1,Argument '{0}' must be greater or equal to zero.
Argument_GTZero1,Argument '{0}' must be greater than zero.
Argument_HasToBeArrayClass,Must be an array type.
Argument_IComparable2,Loop control variable of type '{1}' does not implement the 'System.IComparable' interface.
Argument_IdnBadLabelSize,IDN labels must be between 1 and 63 characters long.
Argument_IdnBadPunycode,Invalid IDN encoded string.
Argument_IdnIllegalName,Decoded string is not a valid IDN name.
Argument_IllegalEnvVarName,Environment variable name cannot contain equal character.
Argument_ImplementIComparable,At least one object must implement IComparable.
Argument_IndexLELength2,Argument '{0}' must be less than or equal to the length of argument '{1}'.
Argument_IndexOutOfArrayBounds,The specified index is out of bounds of the specified array.
Argument_InstancesImplementingIRASThatCanReadMustImplementIIS,The specified Windows Runtime stream supports the IRandomAccessStream interface and its CanRead property returns TRUE, however it does not implement the IInputStream interface. Windows Runtime streams with such inconsistent capabilities cannot be converted to managed Stream objects. IRandomAccessStream instances whose CanRead property returns TRUE must implement the IInputStream interface.
Argument_InstancesImplementingIRASThatCanWriteMustImplementIOS,The specified Windows Runtime stream supports the IRandomAccessStream interface and its CanWrite property returns TRUE, however it does not implement the IOutputStream interface. Windows Runtime streams with such inconsistent capabilities cannot be converted to managed Stream objects. IRandomAccessStream instances whose CanWrite property returns TRUE must implement the IOutputStream interface.
Argument_InsufficientArrayElementsAfterOffset,The specified array does not contain the specified number of elements starting at the specified offset.
Argument_InsufficientBufferCapacity,The specified buffer capacity is not sufficient to hold data of the specified length.
Argument_InsufficientSpaceInSourceBuffer,The specified source buffer does not contain the specified number of elements starting at the specified offset.
Argument_InsufficientSpaceInTargetBuffer,The specified destination buffer is not large enough to hold the specified number of bytes starting at the specified offset.
Argument_InvalidAppendMode,Append access can be requested only in write-only mode.
Argument_InvalidArgumentForComparison,Type of argument is not compatible with the generic comparer.
Argument_InvalidArrayLength,Length of the array must be {0}.
Argument_InvalidArrayType,Target array type is not compatible with the type of items in the collection.
Argument_InvalidCalendar,Not a valid calendar for the given culture.
Argument_InvalidCharSequence,Invalid Unicode code point found at index {0}.
Argument_InvalidCharSequenceNoIndex,String contains invalid Unicode code points.
Argument_InvalidCodePageBytesIndex,Unable to translate bytes {0} at index {1} from specified code page to Unicode.
Argument_InvalidCodePageConversionIndex,Unable to translate Unicode character \\u{0:X4} at index {1} to specified code page.
Argument_InvalidCultureName,Culture name '{0}' is not supported.
Argument_InvalidDateTimeKind,Invalid DateTimeKind value.
Argument_InvalidDateTimeStyles,An undefined DateTimeStyles value is being used.
Argument_InvalidDateValue1,Argument '{0}' cannot be converted to type 'Date'.
Argument_InvalidEnumValue,The value '{0}' is not valid for this usage of the type {1}.
Argument_InvalidExpandedName,'{0}' is an invalid expanded name.
Argument_InvalidFileModeAndAccessCombo,Combining FileMode: {0} with FileAccess: {1} is invalid.
Argument_InvalidFlag,Value of flags is invalid.
Argument_InvalidGroupSize,Every element in the value array should be between one and nine, except for the last element, which can be zero.
Argument_InvalidHandle,The handle is invalid.
Argument_InvalidHexStyle,With the AllowHexSpecifier bit set in the enum bit field, the only other valid bits that can be combined into the enum value must be a subset of those in HexNumber.
Argument_InvalidHighSurrogate,Found a high surrogate char without a following low surrogate at index: {0}. The input may not be in this encoding, or may not contain valid Unicode (UTF-16) characters.
Argument_InvalidId,The specified ID parameter '{0}' is not supported.
Argument_InvalidLowSurrogate,Found a low surrogate char without a preceding high surrogate at index: {0}. The input may not be in this encoding, or may not contain valid Unicode (UTF-16) characters.
Argument_InvalidNamedArgs,Named arguments are not valid as array subscripts.
Argument_InvalidNeutralRegionName,The region name {0} should not correspond to neutral culture; a specific culture name is required.
Argument_InvalidNullValue1,Argument '{0}' is Nothing.
Argument_InvalidNumberStyles,An undefined NumberStyles value is being used.
Argument_InvalidOffLen,Offset and length were out of bounds for the array or count is greater than the number of elements from index to the end of the source collection.
Argument_InvalidOffLength,The offset and length provided do not fit within the bounds of the array
Argument_InvalidPathChars,Illegal characters in path.
Argument_InvalidPIName,'{0}' is an invalid name for a processing instruction.
Argument_InvalidPrefix,'{0}' is an invalid prefix.
Argument_InvalidRank1,Argument '{0}' is not valid for the array.
Argument_InvalidResourceCultureName,The given culture name '{0}' cannot be used to locate a resource file. Resource filenames must consist of only letters, numbers, hyphens or underscores.
Argument_InvalidSafeBufferOffLen,Offset and length were greater than the size of the SafeBuffer.
Argument_InvalidSeekOrigin,Invalid seek origin.
Argument_InvalidSubPath,The directory specified, '{0}', is not a subdirectory of '{1}'.
Argument_InvalidTimeSpanStyles,An undefined TimeSpanStyles value is being used.
Argument_InvalidValue,Arguments are not valid.
Argument_InvalidValue1,Argument '{0}' is not a valid value.
Argument_InvalidValueType2,Argument '{0}' cannot be converted to type '{1}'.
Argument_ItemNotExist,The specified item does not exist in this KeyedCollection.
Argument_LengthGTZero1,Length of argument '{0}' must be greater than zero.
Argument_LongEnvVarValue,Environment variable name or value is too long.
Argument_MethodDeclaringTypeGeneric,Cannot resolve method {0} because the declaring type of the method handle is generic. Explicitly provide the declaring type to GetMethodFromHandle.
Argument_MinMaxValue,'{0}' cannot be greater than {1}.
Argument_MinusOneOrGTZero1,Argument '{0}' must be greater than 0 or equal to -1.
Argument_MustBeBigInt,The parameter must be a BigInteger.
Argument_MustBeDerivedFrom,The argument must be derived from {0}.
Argument_MustBeFalse,Argument must be initialized to false
Argument_MustHaveAttributeBaseClass,Type passed in must be derived from System.Attribute or System.Attribute itself.
Argument_MustHaveLayoutOrBeBlittable,The specified structure '{0}' must be blittable or have layout information.
Argument_NamespaceDeclarationPrefixed,The prefix '{0}' cannot be bound to the empty namespace name.
Argument_NamespaceDeclarationXml,The prefix 'xml' is bound to the namespace name 'http://www.w3.org/XML/1998/namespace'. Other prefixes must not be bound to this namespace name, and it must not be declared as the default namespace.
Argument_NamespaceDeclarationXmlns,The prefix 'xmlns' is bound to the namespace name 'http://www.w3.org/2000/xmlns/'. It must not be declared. Other prefixes must not be bound to this namespace name, and it must not be declared as the default namespace.
Argument_NeedNonGenericType,The specified Type must not be a generic type definition.
Argument_NeedStructWithNoRefs,The specified Type must be a struct containing no references.
Argument_NeverValidGenericArgument,The type '{0}' may not be used as a type argument.
Argument_NoEra,No Era was supplied.
Argument_NoRegionInvariantCulture,There is no region associated with the Invariant Culture (Culture ID: 0x7F).
Argument_NotEnoughGenArguments,The type or method has {1} generic parameter(s), but {0} generic argument(s) were provided. A generic argument must be provided for each generic parameter.
Argument_NotIsomorphic,Object contains non-primitive or non-blittable data.
Argument_NotNumericType2,Type of argument '{0}' is '{1}', which is not numeric.
