Meter S/N:," ""0601B14R""",,,,,
0.0110176,-0.058204234,0,32, NegativePower,,
0.0110192,-0.059265003,0,32, NegativePower,,
0.0110208,-0.068811938,0,32, NegativePower,,
0.0110224,-0.065806419,0,32, NegativePower,,
0.011024,-0.07181745,0,32, NegativePower,,
0.0110256,-0.078182071,0,32, NegativePower,,
0.0110272,-0.069872707,0,32, NegativePower,,
0.0110288,-0.07181745,0,32, NegativePower,,
0.0110304,-0.067043982,0,32, NegativePower,,
0.011032,-0.058381028,0,32, NegativePower,,
0.0110336,-0.063331291,0,32, NegativePower,,
0.0110352,-0.052193202,0,32, NegativePower,,
0.0110368,-0.068988733,0,32, NegativePower,,
0.0110384,-0.080303609,0,32, NegativePower,,
0.01104,-0.07181745,0,32, NegativePower,,
0.0110416,-0.070403092,0,32, NegativePower,,
0.0110432,-0.070756681,0,32, NegativePower,,
0.0110448,-0.048480507,0,32, NegativePower,,
0.0110464,-0.058911413,0,32, NegativePower,,
0.011048,0.13061285,0,0,0,,
0.0110496,15.75080585,0,1, TriggerDetected,,
0.0110512,21.0122261,0,0,0,,
0.0110528,26.28372192,0,0,0,,
0.0110544,30.99106598,0,0,0,,
0.011056,35.77761459,0,0,0,,
0.0110576,38.2976532,0,0,0,,
0.0110592,39.26454163,0,0,0,,
0.0110608,39.81490707,0,0,0,,
0.0110624,40.01980972,0,0,0,,
0.011064,39.85981369,0,0,0,,
0.0110656,39.35877609,0,0,0,,
0.0110672,38.63656616,0,0,0,,
0.0110688,37.73703384,0,0,0,,
0.0110704,36.76306915,0,0,0,,
0.011072,35.74755859,0,0,0,,
0.0110736,34.68342972,0,0,0,,
0.0110752,33.52807617,0,0,0,,
0.0110768,32.69254303,0,0,0,,
0.0110784,34.20413971,0,0,0,,
0.01108,37.00138855,0,0,0,,
0.0110816,40.32089233,0,0,0,,
0.0110832,43.86810684,0,0,0,,
0.0110848,47.59247208,0,0,0,,
0.0110864,51.42167664,0,0,0,,
0.011088,55.27173996,0,0,0,,
0.0110896,59.1610527,0,0,0,,
0.0110912,63.02632523,0,0,0,,
0.0110928,66.82883453,0,0,0,,
0.0110944,70.55531311,0,0,0,,
0.011096,74.14319611,0,0,0,,
0.0110976,75.36979675,0,0,0,,
0.0110992,75.114151,0,0,0,,
0.0111008,74.42624664,0,0,0,,
0.0111024,73.35945892,0,0,0,,
0.011104,71.97992706,0,0,0,,
0.0111056,70.3201828,0,0,0,,
0.0111072,68.534729,0,0,0,,
0.0111088,66.65751648,0,0,0,,
0.0111104,64.70127869,0,0,0,,
0.011112,62.74398041,0,0,0,,
0.0111136,60.77377701,0,0,0,,
0.0111152,58.77846909,0,0,0,,
0.0111168,57.2829628,0,0,0,,
0.0111184,58.23747635,0,0,0,,
0.01112,60.40498352,0,0,0,,
0.0111216,63.09916306,0,0,0,,
0.0111232,66.16850281,0,0,0,,
0.0111248,69.4307251,0,0,0,,
0.0111264,72.8748703,0,0,0,,
0.011128,76.27145386,0,0,0,,
0.0111296,79.73734283,0,0,0,,
0.0111312,83.03474426,0,0,0,,
0.0111328,86.44176483,0,0,0,,
0.0111344,89.80086517,0,0,0,,
0.011136,92.95435333,0,0,0,,
0.0111376,93.88076019,0,0,0,,
0.0111392,95.20000458,0,0,0,,
0.0111408,94.89256287,0,0,0,,
0.0111424,93.27294159,0,0,0,,
0.011144,91.31971741,0,0,0,,
0.0111456,89.41651917,0,0,0,,
0.0111472,87.31671906,0,0,0,,
0.0111488,85.04261017,0,0,0,,
0.0111504,82.68628693,0,0,0,,
0.011152,80.29637146,0,0,0,,
0.0111536,77.92147827,0,0,0,,
0.0111552,75.58990479,0,0,0,,
0.0111568,73.90416718,0,0,0,,
0.0111584,74.65271759,0,0,0,,
0.01116,76.58721161,0,0,0,,
0.0111616,79.15303802,0,0,0,,
0.0111632,82.14281464,0,0,0,,
0.0111648,85.26483917,0,0,0,,
0.0111664,88.52370453,0,0,0,,
0.011168,91.83489227,0,0,0,,
0.0111696,95.12168884,0,0,0,,
0.0111712,98.45886993,0,0,0,,
0.0111728,101.7716522,0,0,0,,
0.0111744,105.0186691,0,0,0,,
0.011176,108.1226578,0,0,0,,
0.0111776,108.7147446,0,0,0,,
0.0111792,107.879921,0,0,0,,
0.0111808,106.5886078,0,0,0,,
0.0111824,104.8920822,0,0,0,,
0.011184,102.8539886,0,0,0,,
0.0111856,100.6265488,0,0,0,,
0.0111872,98.25113678,0,0,0,,
0.0111888,95.7880249,0,0,0,,
0.0111904,93.28142548,0,0,0,,
0.011192,90.78915405,0,0,0,,
0.0111936,88.27017975,0,0,0,,
0.0111952,85.76870728,0,0,0,,
0.0111968,83.87557983,0,0,0,,
0.0111984,84.42789459,0,0,0,,
0.0112,86.15411377,0,0,0,,
0.0112016,88.51733398,0,0,0,,
0.0112032,91.26473236,0,0,0,,
0.0112048,94.21543121,0,0,0,,
0.0112064,97.29873657,0,0,0,,
0.011208,100.4189911,0,0,0,,
0.0112096,103.5256348,0,0,0,,
0.0112112,106.6633911,0,0,0,,
0.0112128,109.754303,0,0,0,,
0.0112144,112.7578735,0,0,0,,
0.011216,115.6297302,0,0,0,,
0.0112176,116.0782623,0,0,0,,
0.0112192,115.0951004,0,0,0,,
0.0112208,113.7150421,0,0,0,,
0.0112224,111.9644165,0,0,0,,
0.011224,109.8511887,0,0,0,,
0.0112256,107.5234985,0,0,0,,
0.0112272,105.0681763,0,0,0,,
0.0112288,102.5373535,0,0,0,,
0.0112304,99.97966003,0,0,0,,
0.011232,97.39226532,0,0,0,,
0.0112336,94.80115509,0,0,0,,
0.0112352,92.22579193,0,0,0,,
0.0112368,90.27644348,0,0,0,,
0.0112384,90.70587921,0,0,0,,
0.01124,92.2851944,0,0,0,,
0.0112416,94.52818298,0,0,0,,
0.0112432,97.17144775,0,0,0,,
0.0112448,100.0767212,0,0,0,,
0.0112464,103.1534805,0,0,0,,
0.011248,106.1072006,0,0,0,,
0.0112496,109.0342178,0,0,0,,
0.0112512,111.9836884,0,0,0,,
0.0112528,114.9312134,0,0,0,,
0.0112544,117.8485107,0,0,0,,
0.011256,120.5856476,0,0,0,,
0.0112576,120.9512634,0,0,0,,
0.0112592,119.9163055,0,0,0,,
0.0112608,118.5224533,0,0,0,,
0.0112624,116.6958008,0,0,0,,
0.011264,114.5610046,0,0,0,,
0.0112656,112.2419815,0,0,0,,
0.0112672,109.7696838,0,0,0,,
0.0112688,107.2381516,0,0,0,,
0.0112704,104.6742706,0,0,0,,
0.011272,102.0525818,0,0,0,,
0.0112736,99.46270752,0,0,0,,
0.0112752,96.90271759,0,0,0,,
0.0112768,94.95391083,0,0,0,,
0.0112784,95.31421661,0,0,0,,
0.01128,96.86081696,0,0,0,,
0.0112816,99.00215912,0,0,0,,
0.0112832,101.5418167,0,0,0,,
0.0112848,104.2865601,0,0,0,,
0.0112864,107.124649,0,0,0,,
0.011288,109.9857254,0,0,0,,
0.0112896,112.8515701,0,0,0,,
0.0112912,115.7531357,0,0,0,,
0.0112928,118.6304703,0,0,0,,
0.0112944,121.4685593,0,0,0,,
0.011296,124.1146545,0,0,0,,
0.0112976,124.4447327,0,0,0,,
0.0112992,123.4265671,0,0,0,,
0.0113008,122.012558,0,0,0,,
0.0113024,120.1841507,0,0,0,,
0.011304,118.0560684,0,0,0,,
0.0113056,115.7418213,0,0,0,,
0.0113072,113.2601471,0,0,0,,
0.0113088,110.7623901,0,0,0,,
0.0113104,108.2036362,0,0,0,,
0.011312,105.5943146,0,0,0,,
0.0113136,102.980751,0,0,0,,
0.0113152,100.434906,0,0,0,,
0.0113168,98.47389221,0,0,0,,
0.0113184,98.85347748,0,0,0,,
0.01132,100.3479233,0,0,0,,
0.0113216,101.6691132,0,0,0,,
0.0113232,103.2989883,0,0,0,,
0.0113248,105.3749161,0,0,0,,
0.0113264,107.7201004,0,0,0,,
0.011328,110.2051315,0,0,0,,
0.0113296,112.6788483,0,0,0,,
0.0113312,115.1256866,0,0,0,,
0.0113328,117.5472488,0,0,0,,
0.0113344,119.9479523,0,0,0,,
0.011336,122.1837006,0,0,0,,
0.0113376,122.2524719,0,0,0,,
0.0113392,120.9799042,0,0,0,,
0.0113408,119.3671799,0,0,0,,
0.0113424,117.4671631,0,0,0,,
0.011344,115.3452682,0,0,0,,
0.0113456,113.0089188,0,0,0,,
0.0113472,110.5435181,0,0,0,,
0.0113488,107.9939575,0,0,0,,
0.0113504,105.4106216,0,0,0,,
0.011352,102.8492203,0,0,0,,
0.0113536,100.3060226,0,0,0,,
0.0113552,97.74655914,0,0,0,,
0.0113568,95.85927582,0,0,0,,
0.0113584,96.04013824,0,0,0,,
0.01136,97.40092468,0,0,0,,
0.0113616,99.26840973,0,0,0,,
0.0113632,101.4026794,0,0,0,,
0.0113648,103.7103882,0,0,0,,
0.0113664,106.0833282,0,0,0,,
0.011368,108.5922318,0,0,0,,
0.0113696,111.1299438,0,0,0,,
0.0113712,113.6462708,0,0,0,,
0.0113728,116.1926422,0,0,0,,
0.0113744,118.6916428,0,0,0,,
0.011376,121.0589294,0,0,0,,
0.0113776,121.3713226,0,0,0,,
0.0113792,120.2820892,0,0,0,,
0.0113808,118.7901154,0,0,0,,
0.0113824,116.9530411,0,0,0,,
0.011384,114.9163589,0,0,0,,
0.0113856,112.6951065,0,0,0,,
0.0113872,110.4043808,0,0,0,,
0.0113888,107.9904175,0,0,0,,
0.0113904,105.5637283,0,0,0,,
0.011392,103.1373978,0,0,0,,
0.0113936,100.7352829,0,0,0,,
0.0113952,98.33563995,0,0,0,,
0.0113968,96.5929718,0,0,0,,
0.0113984,96.95275116,0,0,0,,
0.0114,98.53736877,0,0,0,,
0.0114016,100.655899,0,0,0,,
0.0114032,103.0444031,0,0,0,,
0.0114048,105.6006775,0,0,0,,
0.0114064,108.1960297,0,0,0,,
0.011408,110.9197311,0,0,0,,
0.0114096,113.6317673,0,0,0,,
0.0114112,116.3323135,0,0,0,,
0.0114128,119.0385132,0,0,0,,
0.0114144,121.6895599,0,0,0,,
0.011416,124.1652145,0,0,0,,
0.0114176,124.5522232,0,0,0,,
0.0114192,123.5271606,0,0,0,,
0.0114208,122.0585251,0,0,0,,
0.0114224,120.2513275,0,0,0,,
0.011424,118.2314453,0,0,0,,
0.0114256,116.0096664,0,0,0,,
0.0114272,113.6658936,0,0,0,,
0.0114288,111.2816315,0,0,0,,
0.0114304,108.8112793,0,0,0,,
0.011432,106.3617859,0,0,0,,
0.0114336,103.9200668,0,0,0,,
0.0114352,101.4760513,0,0,0,,
0.0114368,99.72047424,0,0,0,,
0.0114384,100.0758362,0,0,0,,
0.01144,101.6455994,0,0,0,,
0.0114416,103.7388535,0,0,0,,
0.0114432,106.0939407,0,0,0,,
0.0114448,108.5787888,0,0,0,,
0.0114464,111.1612396,0,0,0,,
0.011448,113.8610764,0,0,0,,
0.0114496,116.556488,0,0,0,,
0.0114512,119.2075348,0,0,0,,
0.0114528,121.8269272,0,0,0,,
0.0114544,124.4311142,0,0,0,,
0.011456,126.90448,0,0,0,,
0.0114576,127.2000809,0,0,0,,
0.0114592,126.1557541,0,0,0,,
0.0114608,124.5847549,0,0,0,,
0.0114624,122.7402496,0,0,0,,
0.011464,120.6774063,0,0,0,,
0.0114656,118.4298096,0,0,0,,
0.0114672,116.0512085,0,0,0,,
0.0114688,113.5709534,0,0,0,,
0.0114704,111.0852127,0,0,0,,
0.011472,108.5897522,0,0,0,,
0.0114736,106.1278839,0,0,0,,
0.0114752,103.6338348,0,0,0,,
0.0114768,101.8345947,0,0,0,,
0.0114784,102.1839371,0,0,0,,
0.01148,103.6799774,0,0,0,,
0.0114816,105.7221375,0,0,0,,
0.0114832,108.0312576,0,0,0,,
0.0114848,110.4439774,0,0,0,,
0.0114864,112.9751511,0,0,0,,
0.011488,115.6412201,0,0,0,,
0.0114896,118.2935028,0,0,0,,
0.0114912,120.8800125,0,0,0,,
0.0114928,123.4232101,0,0,0,,
0.0114944,125.9649887,0,0,0,,
0.011496,128.3838959,0,0,0,,
0.0114976,128.6773834,0,0,0,,
0.0114992,127.5487213,0,0,0,,
0.0115008,125.9692307,0,0,0,,
0.0115024,124.0669174,0,0,0,,
0.011504,121.9460831,0,0,0,,
0.0115056,119.7262497,0,0,0,,
0.0115072,117.2907181,0,0,0,,
0.0115088,114.7853546,0,0,0,,
0.0115104,112.2807007,0,0,0,,
0.011512,109.7873611,0,0,0,,
0.0115136,107.2846527,0,0,0,,
0.0115152,104.7883072,0,0,0,,
0.0115168,103.002327,0,0,0,,
0.0115184,103.3437119,0,0,0,,
0.01152,104.7863617,0,0,0,,
0.0115216,106.7654037,0,0,0,,
0.0115232,109.0069885,0,0,0,,
0.0115248,111.3914261,0,0,0,,
0.0115264,113.8442764,0,0,0,,
0.011528,116.4032059,0,0,0,,
0.0115296,118.9663849,0,0,0,,
0.0115312,121.4871292,0,0,0,,
0.0115328,123.9709167,0,0,0,,
0.0115344,126.4345551,0,0,0,,
0.011536,128.7735596,0,0,0,,
0.0115376,129.0134735,0,0,0,,
0.0115392,127.8697815,0,0,0,,
0.0115408,126.2856979,0,0,0,,
0.0115424,124.406189,0,0,0,,
0.011544,122.2865906,0,0,0,,
0.0115456,119.9992218,0,0,0,,
0.0115472,117.5728836,0,0,0,,
0.0115488,115.0839615,0,0,0,,
0.0115504,112.5534973,0,0,0,,
0.011552,110.0642242,0,0,0,,
0.0115536,107.5194397,0,0,0,,
0.0115552,105.0499649,0,0,0,,
0.0115568,103.217308,0,0,0,,
0.0115584,103.5860977,0,0,0,,
0.01156,104.9555511,0,0,0,,
0.0115616,106.8615799,0,0,0,,
0.0115632,109.0198975,0,0,0,,
0.0115648,111.3440399,0,0,0,,
0.0115664,113.7649002,0,0,0,,
0.011568,116.2242889,0,0,0,,
0.0115696,118.6904068,0,0,0,,
0.0115712,121.1540451,0,0,0,,
0.0115728,123.5680008,0,0,0,,
0.0115744,125.9660492,0,0,0,,
0.011576,128.2148895,0,0,0,,
0.0115776,128.378067,0,0,0,,
0.0115792,127.1979599,0,0,0,,
0.0115808,125.601326,0,0,0,,
0.0115824,123.6974182,0,0,0,,
0.011584,121.5587311,0,0,0,,
0.0115856,119.2816086,0,0,0,,
0.0115872,116.8840942,0,0,0,,
0.0115888,114.4151459,0,0,0,,
0.0115904,111.9177399,0,0,0,,
0.011592,109.3987656,0,0,0,,
0.0115936,106.910202,0,0,0,,
0.0115952,104.4150925,0,0,0,,
0.0115968,102.6672974,0,0,0,,
0.0115984,102.8737946,0,0,0,,
0.0116,104.2681732,0,0,0,,
0.0116016,106.0796204,0,0,0,,
0.0116032,108.1983261,0,0,0,,
0.0116048,110.4561768,0,0,0,,
0.0116064,112.8010101,0,0,0,,
0.011608,115.1608734,0,0,0,,
0.0116096,117.5619202,0,0,0,,
0.0116112,119.9472427,0,0,0,,
0.0116128,122.2908401,0,0,0,,
0.0116144,124.6268311,0,0,0,,
0.011616,126.792923,0,0,0,,
0.0116176,126.9317093,0,0,0,,
0.0116192,125.7220764,0,0,0,,
0.0116208,124.1570816,0,0,0,,
0.0116224,122.2579498,0,0,0,,
0.011624,120.1639938,0,0,0,,
0.0116256,117.8974838,0,0,0,,
0.0116272,115.5342636,0,0,0,,
0.0116288,113.1061554,0,0,0,,
0.0116304,110.6474686,0,0,0,,
0.011632,108.155365,0,0,0,,
0.0116336,105.6961517,0,0,0,,
0.0116352,103.2413483,0,0,0,,
0.0116368,101.4850693,0,0,0,,
0.0116384,101.7667007,0,0,0,,
0.01164,103.0415726,0,0,0,,
0.0116416,104.8245468,0,0,0,,
0.0116432,106.853447,0,0,0,,
0.0116448,109.1031647,0,0,0,,
0.0116464,111.348465,0,0,0,,
0.011648,113.6467972,0,0,0,,
0.0116496,115.9633408,0,0,0,,
0.0116512,118.2972107,0,0,0,,
0.0116528,120.5775146,0,0,0,,
0.0116544,122.8351898,0,0,0,,
0.011656,124.9443512,0,0,0,,
0.0116576,125.029213,0,0,0,,
0.0116592,123.8353195,0,0,0,,
0.0116608,122.2745743,0,0,0,,
0.0116624,120.430069,0,0,0,,
0.011664,118.331337,0,0,0,,
0.0116656,116.0904617,0,0,0,,
0.0116672,113.7961884,0,0,0,,
0.0116688,111.4306717,0,0,0,,
0.0116704,109.0043411,0,0,0,,
0.011672,106.5560837,0,0,0,,
0.0116736,104.1210785,0,0,0,,
0.0116752,101.7423019,0,0,0,,
0.0116768,99.98779297,0,0,0,,
0.0116784,100.2673035,0,0,0,,
0.01168,101.4778214,0,0,0,,
0.0116816,103.1798248,0,0,0,,
0.0116832,105.1740723,0,0,0,,
0.0116848,107.3490067,0,0,0,,
0.0116864,109.5387878,0,0,0,,
0.011688,111.7174301,0,0,0,,
0.0116896,113.9510651,0,0,0,,
0.0116912,116.1935272,0,0,0,,
0.0116928,118.4561539,0,0,0,,
0.0116944,120.6049194,0,0,0,,
0.011696,122.6071243,0,0,0,,
0.0116976,122.6730652,0,0,0,,
0.0116992,121.4733353,0,0,0,,
0.0117008,119.9470673,0,0,0,,
0.0117024,118.1083984,0,0,0,,
0.011704,116.0246887,0,0,0,,
0.0117056,113.8483429,0,0,0,,
0.0117072,111.6826019,0,0,0,,
0.0117088,109.6255951,0,0,0,,
0.0117104,107.6297531,0,0,0,,
0.011712,105.6270218,0,0,0,,
0.0117136,103.5590515,0,0,0,,
0.0117152,101.4339752,0,0,0,,
0.0117168,99.94483185,0,0,0,,
0.0117184,100.3896484,0,0,0,,
0.01172,101.7189713,0,0,0,,
0.0117216,103.499649,0,0,0,,
0.0117232,105.6183624,0,0,0,,
0.0117248,107.8657761,0,0,0,,
0.0117264,110.0796051,0,0,0,,
0.011728,112.2614288,0,0,0,,
0.0117296,114.5077896,0,0,0,,
0.0117312,116.7843781,0,0,0,,
0.0117328,119.0501862,0,0,0,,
0.0117344,121.1947098,0,0,0,,
0.011736,123.1765823,0,0,0,,
0.0117376,123.2526016,0,0,0,,
0.0117392,122.0491562,0,0,0,,
0.0117408,120.5670853,0,0,0,,
0.0117424,118.7358398,0,0,0,,
0.011744,116.6691055,0,0,0,,
0.0117456,114.5125656,0,0,0,,
0.0117472,112.2943192,0,0,0,,
0.0117488,110.0350494,0,0,0,,
0.0117504,107.6801453,0,0,0,,
0.011752,105.2909317,0,0,0,,
0.0117536,102.9491043,0,0,0,,
0.0117552,100.6451187,0,0,0,,
0.0117568,98.95796204,0,0,0,,
0.0117584,99.17541504,0,0,0,,
0.01176,100.2729645,0,0,0,,
0.0117616,101.862175,0,0,0,,
0.0117632,103.8003769,0,0,0,,
0.0117648,105.9169693,0,0,0,,
0.0117664,107.9345474,0,0,0,,
0.011768,109.9231415,0,0,0,,
0.0117696,112.019928,0,0,0,,
0.0117712,114.2075882,0,0,0,,
0.0117728,116.3347855,0,0,0,,
0.0117744,118.3598022,0,0,0,,
0.011776,120.2389526,0,0,0,,
0.0117776,120.2375412,0,0,0,,
0.0117792,119.0768814,0,0,0,,
0.0117808,117.6245117,0,0,0,,
0.0117824,115.8662796,0,0,0,,
0.011784,113.8260651,0,0,0,,
0.0117856,111.7008133,0,0,0,,
0.0117872,109.6132202,0,0,0,,
0.0117888,107.3847198,0,0,0,,
0.0117904,105.1067123,0,0,0,,
0.011792,102.7579956,0,0,0,,
0.0117936,100.4983749,0,0,0,,
0.0117952,98.29851532,0,0,0,,
0.0117968,96.63116455,0,0,0,,
0.0117984,96.78726959,0,0,0,,
0.0118,97.79164124,0,0,0,,
0.0118016,99.31668091,0,0,0,,
0.0118032,101.2179337,0,0,0,,
0.0118048,103.2958069,0,0,0,,
0.0118064,105.2067795,0,0,0,,
0.011808,107.0668411,0,0,0,,
0.0118096,109.1112976,0,0,0,,
0.0118112,111.2575912,0,0,0,,
0.0118128,113.3358154,0,0,0,,
0.0118144,115.2466125,0,0,0,,
0.011816,117.0218124,0,0,0,,
0.0118176,117.0838699,0,0,0,,
0.0118192,115.9743042,0,0,0,,
0.0118208,114.6013107,0,0,0,,
0.0118224,112.8616486,0,0,0,,
0.011824,110.8472519,0,0,0,,
0.0118256,108.844162,0,0,0,,
0.0118272,106.8186188,0,0,0,,
0.0118288,104.7009735,0,0,0,,
0.0118304,102.4505463,0,0,0,,
0.011832,100.1732483,0,0,0,,
0.0118336,97.99513245,0,0,0,,
0.0118352,95.9101944,0,0,0,,
0.0118368,94.23770905,0,0,0,,
0.0118384,94.35793304,0,0,0,,
0.01184,95.28168488,0,0,0,,
0.0118416,96.75933838,0,0,0,,
0.0118432,98.65563965,0,0,0,,
0.0118448,100.6917877,0,0,0,,
0.0118464,102.5018158,0,0,0,,
0.011848,104.2271576,0,0,0,,
0.0118496,106.2320175,0,0,0,,
0.0118512,108.3668137,0,0,0,,
0.0118528,110.4024353,0,0,0,,
0.0118544,112.2292557,0,0,0,,
0.011856,113.900322,0,0,0,,
0.0118576,113.9839478,0,0,0,,
0.0118592,112.9763947,0,0,0,,
0.0118608,111.682785,0,0,0,,
0.0118624,110.0088882,0,0,0,,
0.011864,108.0095139,0,0,0,,
0.0118656,106.0757294,0,0,0,,
0.0118672,104.1976318,0,0,0,,
0.0118688,102.192955,0,0,0,,
0.0118704,100.0454254,0,0,0,,
0.011872,97.87084961,0,0,0,,
0.0118736,95.84371948,0,0,0,,
0.0118752,93.91612244,0,0,0,,
0.0118768,92.35007477,0,0,0,,
0.0118784,92.50565338,0,0,0,,
0.01188,93.51126099,0,0,0,,
0.0118816,95.02462769,0,0,0,,
0.0118832,96.91350555,0,0,0,,
0.0118848,98.908638,0,0,0,,
0.0118864,100.7243195,0,0,0,,
0.011888,102.6225662,0,0,0,,
0.0118896,104.8864288,0,0,0,,
0.0118912,107.029892,0,0,0,,
0.0118928,108.9323807,0,0,0,,
0.0118944,110.6697464,0,0,0,,
0.011896,112.4467163,0,0,0,,
0.0118976,112.5784225,0,0,0,,
0.0118992,111.5259628,0,0,0,,
0.0119008,110.1881561,0,0,0,,
0.0119024,108.5048904,0,0,0,,
0.011904,106.6119461,0,0,0,,
0.0119056,104.8082809,0,0,0,,
0.0119072,102.9086227,0,0,0,,
0.0119088,100.824913,0,0,0,,
0.0119104,98.68923187,0,0,0,,
0.011912,96.54470825,0,0,0,,
0.0119136,94.56937408,0,0,0,,
0.0119152,92.59246063,0,0,0,,
0.0119168,90.93730927,0,0,0,,
0.0119184,91.10844421,0,0,0,,
0.01192,92.23834229,0,0,0,,
0.0119216,93.75894928,0,0,0,,
0.0119232,95.53839111,0,0,0,,
0.0119248,97.34788513,0,0,0,,
0.0119264,99.03044891,0,0,0,,
0.011928,100.8263321,0,0,0,,
0.0119296,102.9049072,0,0,0,,
0.0119312,104.859375,0,0,0,,
0.0119328,106.7022858,0,0,0,,
0.0119344,108.4361191,0,0,0,,
0.011936,110.1794968,0,0,0,,
0.0119376,110.2811508,0,0,0,,
0.0119392,109.2438965,0,0,0,,
0.0119408,107.9669037,0,0,0,,
0.0119424,106.3241272,0,0,0,,
0.011944,104.5140991,0,0,0,,
0.0119456,102.7967072,0,0,0,,
0.0119472,100.9301071,0,0,0,,
0.0119488,98.90704346,0,0,0,,
0.0119504,96.84366608,0,0,0,,
0.011952,94.79302216,0,0,0,,
0.0119536,92.88752747,0,0,0,,
0.0119552,90.99087524,0,0,0,,
0.0119568,89.33607483,0,0,0,,
0.0119584,89.58429718,0,0,0,,
0.01196,90.70323181,0,0,0,,
0.0119616,92.18919373,0,0,0,,
0.0119632,93.94705963,0,0,0,,
0.0119648,95.74930573,0,0,0,,
0.0119664,97.36167908,0,0,0,,
0.011968,99.16622162,0,0,0,,
0.0119696,101.2156296,0,0,0,,
0.0119712,103.1372147,0,0,0,,
0.0119728,104.9594421,0,0,0,,
0.0119744,106.6731186,0,0,0,,
0.011976,108.3758316,0,0,0,,
0.0119776,108.504715,0,0,0,,
0.0119792,107.4867325,0,0,0,,
0.0119808,106.2546463,0,0,0,,
0.0119824,104.6583633,0,0,0,,
0.011984,102.8994293,0,0,0,,
0.0119856,101.234375,0,0,0,,
0.0119872,99.42699432,0,0,0,,
0.0119888,97.45007324,0,0,0,,
0.0119904,95.45529938,0,0,0,,
0.011992,93.45220947,0,0,0,,
0.0119936,91.6207962,0,0,0,,
0.0119952,89.76815796,0,0,0,,
0.0119968,88.12821198,0,0,0,,
0.0119984,88.39305115,0,0,0,,
0.012,89.52153015,0,0,0,,
0.0120016,91.01774597,0,0,0,,
0.0120032,92.76005554,0,0,0,,
0.0120048,94.52128601,0,0,0,,
0.0120064,96.08415985,0,0,0,,
0.012008,97.87261963,0,0,0,,
0.0120096,99.87004852,0,0,0,,
0.0120112,101.7896881,0,0,0,,
0.0120128,103.5465012,0,0,0,,
0.0120144,105.2209244,0,0,0,,
0.012016,106.91745,0,0,0,,
0.0120176,107.0454483,0,0,0,,
0.0120192,106.0649414,0,0,0,,
0.0120208,104.8558426,0,0,0,,
0.0120224,103.3074722,0,0,0,,
0.012024,101.5501328,0,0,0,,
0.0120256,99.94907379,0,0,0,,
0.0120272,98.19862366,0,0,0,,
0.0120288,96.28305054,0,0,0,,
0.0120304,94.32787323,0,0,0,,
0.012032,92.35679626,0,0,0,,
0.0120336,90.57965088,0,0,0,,
0.0120352,88.79154205,0,0,0,,
0.0120368,87.1784668,0,0,0,,
0.0120384,87.42050171,0,0,0,,
0.01204,88.5615387,0,0,0,,
0.0120416,90.05032349,0,0,0,,
0.0120432,91.82552338,0,0,0,,
0.0120448,93.5803833,0,0,0,,
0.0120464,95.09941101,0,0,0,,
0.012048,96.82051086,0,0,0,,
0.0120496,98.84835052,0,0,0,,
0.0120512,100.7632141,0,0,0,,
