Meter S/N:	None
Sensor	None	None
Date	[None]
Units	W
Cursor	0,1000448	0,2000896	1,00000000	0,00000000
0,0097280	0	0	0	0	0
0,0097792	0	0	0	0	0
0,0098304	0	0	0	0	0
0,0098816	0	0	0	0	0
0,0099328	0	0	0	0	0
0,0099840	0	0	0	0	0
0,0100352	0	0	0	0	0
0,0100864	0	0	0	0	0
0,0101376	0	0	0	0	0
0,0101888	0	0	0	0	0
0,0102400	0	0	0	0	0
0,0102912	0	0	0	0	0
0,0103424	0	0	0	0	0
0,0103936	0	0	0	0	0
0,0104448	0	0	0	0	0
0,0104960	0	0	0	0	0
0,0105472	0	0	0	0	0
0,0105983	0	0	0	0	0
0,0106496	0	0	0	0	0
0,0107008	0	0	0	0	0
0,0107520	0	0	0	0	0
0,0108032	0	0	0	0	0
0,0108544	0	0	0	0	0
0,0109056	0	0	0	0	0
0,0109567	0	0	0	0	0
0,0110080	0	0	0	0	0
0,0110592	0	0	0	0	0
0,0111104	0	0	0	0	0
0,0111616	0	0	0	0	0
0,0112128	0	0	0	0	0
0,0112640	0	0	0	0	0
0,0113151	0	0	0	0	0
0,0113664	0	0	0	0	0
0,0114176	0	0	0	0	0
0,0114688	0	0	0	0	0
0,0115200	0	0	0	0	0
0,0115712	0	0	0	0	0
0,0116224	0	0	0	0	0
0,0116735	0	0	0	0	0
0,0117248	0	0	0	0	0
0,0117760	0	0	0	0	0
0,0118272	0	0	0	0	0
0,0118784	0	0	0	0	0
0,0119296	0	0	0	0	0
0,0119808	0	0	0	0	0
0,0120320	0	0	0	0	0
0,0120832	0	0	0	0	0
0,0121344	0	0	0	0	0
0,0121856	0	0	0	0	0
0,0122368	0	0	0	0	0
0,0122880	0	0	0	0	0
0,0123392	0	0	0	0	0
0,0123904	0	0	0	0	0
0,0124416	0	0	0	0	0
0,0124928	0	0	0	0	0
0,0125440	0	0	0	0	0
0,0125952	0	0	0	0	0
0,0126464	0	0	0	0	0
0,0126976	0	0	0	0	0
0,0127488	0	0	0	0	0
0,0128000	0	0	0	0	0
0,0128512	0	0	0	0	0
0,0129024	0	0	0	0	0
0,0129535	0	0	0	0	0
0,0130048	0	0	0	0	0
0,0130560	0	0	0	0	0
0,0131072	0	0	0	0	0
0,0131584	0	0	0	0	0
0,0132096	0	0	0	0	0
0,0132608	0	0	0	0	0
0,0133120	0	0	0	0	0
0,0133632	0	0	0	0	0
0,0134144	0	0	0	0	0
0,0134656	0	0	0	0	0
0,0135168	0	0	0	0	0
0,0135680	0	0	0	0	0
0,0136192	0	0	0	0	0
0,0136704	0	0	0	0	0
0,0137216	0	0	0	0	0
0,0137728	0	0	0	0	0
0,0138240	0	0	0	0	0
0,0138752	0	0	0	0	0
0,0139264	0	0	0	0	0
0,0139776	0	0	0	0	0
0,0140288	0	0	0	0	0
0,0140800	0	0	0	0	0
0,0141312	0	0	0	0	0
0,0141824	0	0	0	0	0
0,0142336	0	0	0	0	0
0,0142848	0	0	0	0	0
0,0143360	0	0	0	0	0
0,0143872	0	0	0	0	0
0,0144384	0	0	0	0	0
0,0144896	0	0	0	0	0
0,0145408	0	0	0	0	0
0,0145920	0	0	0	0	0
0,0146432	0	0	0	0	0
0,0146944	0	0	0	0	0
0,0147456	0	0	0	0	0
0,0147968	0	0	0	0	0
0,0148480	0	0	0	0	0
0,0148992	0	0	0	0	0
0,0149504	0	0	0	0	0
0,0150016	0	0	0	0	0
0,0150528	0	0	0	0	0
0,0151040	0	0	0	0	0
0,0151552	0	0	0	0	0
0,0152064	0	0	0	0	0
0,0152576	0	0	0	0	0
0,0153088	0	0	0	0	0
0,0153600	0	0	0	0	0
0,0154112	0	0	0	0	0
0,0154624	0	0	0	0	0
0,0155136	0	0	0	0	0
0,0155648	0	0	0	0	0
0,0156160	0	0	0	0	0
0,0156672	0	0	0	0	0
0,0157184	0	0	0	0	0
0,0157696	0	0	0	0	0
0,0158208	0	0	0	0	0
0,0158720	0	0	0	0	0
0,0159231	0	0	0	0	0
0,0159744	0	0	0	0	0
0,0160256	0	0	0	0	0
0,0160768	0	0	0	0	0
0,0161280	0	0	0	0	0
0,0161792	0	0	0	0	0
0,0162304	0	0	0	0	0
0,0162816	0	0	0	0	0
0,0163328	0	0	0	0	0
0,0163840	0	0	0	0	0
0,0164352	0	0	0	0	0
0,0164863	0	0	0	0	0
0,0165376	0	0	0	0	0
0,0165888	0	0	0	0	0
0,0166399	0	0	0	0	0
0,0166912	0	0	0	0	0
0,0167424	0	0	0	0	0
0,0167936	0	0	0	0	0
0,0168448	0	0	0	0	0
0,0168960	0	0	0	0	0
0,0169472	0	0	0	0	0
0,0169984	0	0	0	0	0
0,0170496	0	0	0	0	0
0,0171008	0	0	0	0	0
0,0171520	0	0	0	0	0
0,0172031	0	0	0	0	0
0,0172544	0	0	0	0	0
0,0173056	0	0	0	0	0
0,0173568	0	0	0	0	0
0,0174080	0	0	0	0	0
0,0174592	0	0	0	0	0
0,0175104	0	0	0	0	0
0,0175616	0	0	0	0	0
0,0176128	0	0	0	0	0
0,0176640	0	0	0	0	0
0,0177152	0	0	0	0	0
0,0177664	0	0	0	0	0
0,0178176	0	0	0	0	0
0,0178688	0	0	0	0	0
0,0179199	0	0	0	0	0
0,0179712	0	0	0	0	0
0,0180224	0	0	0	0	0
0,0180736	0	0	0	0	0
0,0181248	0	0	0	0	0
0,0181760	0	0	0	0	0
0,0182272	0	0	0	0	0
0,0182784	0	0	0	0	0
0,0183296	0	0	0	0	0
0,0183808	0	0	0	0	0
0,0184320	0	0	0	0	0
0,0184832	0	0	0	0	0
0,0185344	0	0	0	0	0
0,0185856	0	0	0	0	0
0,0186367	0	0	0	0	0
0,0186880	0	0	0	0	0
0,0187392	0	0	0	0	0
0,0187904	0	0	0	0	0
0,0188416	0	0	0	0	0
0,0188928	0	0	0	0	0
0,0189440	0	0	0	0	0
0,0189952	0	0	0	0	0
0,0190464	0	0	0	0	0
0,0190976	0	0	0	0	0
0,0191488	0	0	0	0	0
0,0191999	0	0	0	0	0
0,0192512	0	0	0	0	0
0,0193024	0	0	0	0	0
0,0193536	0	0	0	0	0
0,0194048	0	0	0	0	0
0,0194560	0	0	0	0	0
0,0195072	0	0	0	0	0
0,0195584	0	0	0	0	0
0,0196096	0	0	0	0	0
0,0196608	0	0	0	0	0
0,0197120	0	0	0	0	0
0,0197632	0	0	0	0	0
0,0198144	0	0	0	0	0
0,0198656	0	0	0	0	0
0,0199167	0	0	0	0	0
0,0199680	0	0	0	0	0
0,0200192	0	0	0	0	0
0,0200704	0	0	0	0	0
0,0201216	0	0	0	0	0
0,0201728	0	0	0	0	0
0,0202240	0	0	0	0	0
0,0202752	0	0	0	0	0
0,0203264	0	0	0	0	0
0,0203776	0	0	0	0	0
0,0204288	0	0	0	0	0
0,0204800	0	0	0	0	0
0,0205312	0	0	0	0	0
0,0205824	0	0	0	0	0
0,0206335	0	0	0	0	0
0,0206848	0	0	0	0	0
0,0207360	0	0	0	0	0
0,0207872	0	0	0	0	0
0,0208384	0	0	0	0	0
0,0208896	0	0	0	0	0
0,0209408	0	0	0	0	0
0,0209920	0	0	0	0	0
0,0210432	0	0	0	0	0
0,0210944	0	0	0	0	0
0,0211456	0	0	0	0	0
0,0211967	0	0	0	0	0
0,0212480	0	0	0	0	0
0,0212992	0	0	0	0	0
0,0213504	0	0	0	0	0
0,0214016	0	0	0	0	0
0,0214528	0	0	0	0	0
0,0215040	0	0	0	0	0
0,0215552	0	0	0	0	0
0,0216064	0	0	0	0	0
0,0216576	0	0	0	0	0
0,0217088	0	0	0	0	0
0,0217600	0	0	0	0	0
0,0218112	0	0	0	0	0
0,0218624	0	0	0	0	0
0,0219135	0	0	0	0	0
0,0219648	0	0	0	0	0
0,0220160	0	0	0	0	0
0,0220672	0	0	0	0	0
0,0221184	0	0	0	0	0
0,0221696	0	0	0	0	0
0,0222208	0	0	0	0	0
0,0222720	0	0	0	0	0
0,0223232	0	0	0	0	0
0,0223744	0	0	0	0	0
0,0224256	0	0	0	0	0
0,0224768	0	0	0	0	0
0,0225280	0	0	0	0	0
0,0225792	0	0	0	0	0
0,0226303	0	0	0	0	0
0,0226816	0	0	0	0	0
0,0227328	0	0	0	0	0
0,0227840	0	0	0	0	0
0,0228352	0	0	0	0	0
0,0228864	0	0	0	0	0
0,0229376	0	0	0	0	0
0,0229888	0	0	0	0	0
0,0230400	0	0	0	0	0
0,0230912	0	0	0	0	0
0,0231424	0	0	0	0	0
0,0231936	0	0	0	0	0
0,0232448	0	0	0	0	0
0,0232960	0	0	0	0	0
0,0233471	0	0	0	0	0
0,0233984	0	0	0	0	0
0,0234496	0	0	0	0	0
0,0235008	0	0	0	0	0
0,0235520	0	0	0	0	0
0,0236032	0	0	0	0	0
0,0236544	0	0	0	0	0
0,0237056	0	0	0	0	0
0,0237568	0	0	0	0	0
0,0238080	0	0	0	0	0
0,0238592	0	0	0	0	0
0,0239103	0	0	0	0	0
0,0239616	0	0	0	0	0
0,0240128	0	0	0	0	0
0,0240640	0	0	0	0	0
0,0241152	0	0	0	0	0
0,0241664	0	0	0	0	0
0,0242176	0	0	0	0	0
0,0242688	0	0	0	0	0
0,0243200	0	0	0	0	0
0,0243712	0	0	0	0	0
0,0244224	0	0	0	0	0
0,0244736	0	0	0	0	0
0,0245248	0	0	0	0	0
0,0245760	0	0	0	0	0
0,0246271	0	0	0	0	0
0,0246784	0	0	0	0	0
0,0247296	0	0	0	0	0
0,0247808	0	0	0	0	0
0,0248320	0	0	0	0	0
0,0248832	0	0	0	0	0
0,0249344	0	0	0	0	0
0,0249856	0	0	0	0	0
0,0250368	0	0	0	0	0
0,0250880	0	0	0	0	0
0,0251392	0	0	0	0	0
0,0251904	0	0	0	0	0
0,0252416	0	0	0	0	0
0,0252928	0	0	0	0	0
0,0253439	0	0	0	0	0
0,0253952	0	0	0	0	0
0,0254464	0	0	0	0	0
0,0254976	0	0	0	0	0
0,0255488	0	0	0	0	0
0,0256000	0	0	0	0	0
0,0256512	0	0	0	0	0
0,0257024	0	0	0	0	0
0,0257536	0	0	0	0	0
0,0258048	0	0	0	0	0
0,0258560	0	0	0	0	0
0,0259071	0	0	0	0	0
0,0259584	0	0	0	0	0
0,0260096	0	0	0	0	0
0,0260608	0	0	0	0	0
0,0261120	0	0	0	0	0
0,0261632	0	0	0	0	0
0,0262144	0	0	0	0	0
0,0262656	0	0	0	0	0
0,0263168	0	0	0	0	0
0,0263680	0	0	0	0	0
0,0264192	0	0	0	0	0
0,0264704	0	0	0	0	0
0,0265216	0	0	0	0	0
0,0265728	0	0	0	0	0
0,0266240	0	0	0	0	0
0,0266752	0	0	0	0	0
0,0267264	0	0	0	0	0
0,0267776	0	0	0	0	0
0,0268288	0	0	0	0	0
0,0268800	0	0	0	0	0
0,0269312	0	0	0	0	0
0,0269824	0	0	0	0	0
0,0270336	0	0	0	0	0
0,0270848	0	0	0	0	0
0,0271360	0	0	0	0	0
0,0271872	0	0	0	0	0
0,0272384	0	0	0	0	0
0,0272896	0	0	0	0	0
0,0273408	0	0	0	0	0
0,0273920	0	0	0	0	0
0,0274432	0	0	0	0	0
0,0274944	0	0	0	0	0
0,0275456	0	0	0	0	0
0,0275968	0	0	0	0	0
0,0276480	0	0	0	0	0
0,0276992	0	0	0	0	0
0,0277504	0	0	0	0	0
0,0278016	0	0	0	0	0
0,0278528	0	0	0	0	0
0,0279040	0	0	0	0	0
0,0279552	0	0	0	0	0
0,0280064	0	0	0	0	0
0,0280576	0	0	0	0	0
0,0281088	0	0	0	0	0
0,0281600	0	0	0	0	0
0,0282112	0	0	0	0	0
0,0282624	0	0	0	0	0
0,0283136	0	0	0	0	0
0,0283648	0	0	0	0	0
0,0284160	0	0	0	0	0
0,0284672	0	0	0	0	0
0,0285184	0	0	0	0	0
0,0285696	0	0	0	0	0
0,0286208	0	0	0	0	0
0,0286720	0	0	0	0	0
0,0287232	0	0	0	0	0
0,0287744	0	0	0	0	0
0,0288256	0	0	0	0	0
0,0288768	0	0	0	0	0
0,0289280	0	0	0	0	0
0,0289792	0	0	0	0	0
0,0290304	0	0	0	0	0
0,0290816	0	0	0	0	0
0,0291328	0	0	0	0	0
0,0291840	0	0	0	0	0
0,0292352	0	0	0	0	0
0,0292864	0	0	0	0	0
0,0293376	0	0	0	0	0
0,0293888	0	0	0	0	0
0,0294400	0	0	0	0	0
0,0294912	0	0	0	0	0
0,0295424	0	0	0	0	0
0,0295936	0	0	0	0	0
0,0296448	0	0	0	0	0
0,0296960	0	0	0	0	0
0,0297472	0	0	0	0	0
0,0297984	0	0	0	0	0
0,0298496	0	0	0	0	0
0,0299008	0	0	0	0	0
0,0299520	0	0	0	0	0
0,0300032	0	0	0	0	0
0,0300544	0	0	0	0	0
0,0301056	0	0	0	0	0
0,0301568	0	0	0	0	0
0,0302080	0	0	0	0	0
0,0302592	0	0	0	0	0
0,0303104	0	0	0	0	0
0,0303616	0	0	0	0	0
0,0304128	0	0	0	0	0
0,0304640	0	0	0	0	0
0,0305152	0	0	0	0	0
0,0305664	0	0	0	0	0
0,0306176	0	0	0	0	0
0,0306688	0	0	0	0	0
0,0307200	0	0	0	0	0
0,0307712	0	0	0	0	0
0,0308224	0	0	0	0	0
0,0308736	0	0	0	0	0
0,0309248	0	0	0	0	0
0,0309760	0	0	0	0	0
0,0310272	0	0	0	0	0
0,0310784	0	0	0	0	0
0,0311296	0	0	0	0	0
0,0311808	0	0	0	0	0
0,0312320	0	0	0	0	0
0,0312832	0	0	0	0	0
0,0313344	0	0	0	0	0
0,0313856	0	0	0	0	0
0,0314368	0	0	0	0	0
0,0314880	0	0	0	0	0
0,0315392	0	0	0	0	0
0,0315904	0	0	0	0	0
0,0316416	0	0	0	0	0
0,0316928	0	0	0	0	0
0,0317440	0	0	0	0	0
0,0317952	0	0	0	0	0
0,0318463	0	0	0	0	0
0,0318976	0	0	0	0	0
0,0319488	0	0	0	0	0
0,0320000	0	0	0	0	0
0,0320512	0	0	0	0	0
0,0321024	0	0	0	0	0
0,0321536	0	0	0	0	0
0,0322048	0	0	0	0	0
0,0322560	0	0	0	0	0
0,0323072	0	0	0	0	0
0,0323584	0	0	0	0	0
0,0324095	0	0	0	0	0
0,0324608	0	0	0	0	0
0,0325120	0	0	0	0	0
0,0325632	0	0	0	0	0
0,0326144	0	0	0	0	0
0,0326656	0	0	0	0	0
0,0327168	0	0	0	0	0
0,0327680	0	0	0	0	0
0,0328192	0	0	0	0	0
0,0328704	0	0	0	0	0
0,0329216	0	0	0	0	0
0,0329727	0	0	0	0	0
0,0330240	0	0	0	0	0
0,0330752	0	0	0	0	0
0,0331264	0	0	0	0	0
0,0331776	0	0	0	0	0
0,0332288	0	0	0	0	0
0,0332799	0	0	0	0	0
0,0333312	0	0	0	0	0
0,0333824	0	0	0	0	0
0,0334336	0	0	0	0	0
0,0334848	0	0	0	0	0
0,0335360	0	0	0	0	0
0,0335872	0	0	0	0	0
0,0336384	0	0	0	0	0
0,0336896	0	0	0	0	0
0,0337408	0	0	0	0	0
0,0337920	0	0	0	0	0
0,0338431	0	0	0	0	0
0,0338944	0	0	0	0	0
0,0339456	0	0	0	0	0
0,0339968	0	0	0	0	0
0,0340480	0	0	0	0	0
0,0340992	0	0	0	0	0
0,0341504	0	0	0	0	0
0,0342016	0	0	0	0	0
0,0342528	0	0	0	0	0
0,0343040	0	0	0	0	0
0,0343552	0	0	0	0	0
0,0344063	0	0	0	0	0
0,0344576	0	0	0	0	0
0,0345088	0	0	0	0	0
0,0345600	0	0	0	0	0
0,0346112	0	0	0	0	0
0,0346624	0	0	0	0	0
0,0347136	0	0	0	0	0
0,0347648	0	0	0	0	0
0,0348160	0	0	0	0	0
0,0348672	0	0	0	0	0
0,0349184	0	0	0	0	0
0,0349696	0	0	0	0	0
0,0350208	0	0	0	0	0
0,0350720	0	0	0	0	0
0,0351232	0	0	0	0	0
0,0351744	0	0	0	0	0
0,0352256	0	0	0	0	0
0,0352767	0	0	0	0	0
0,0353280	0	0	0	0	0
0,0353792	0	0	0	0	0
0,0354304	0	0	0	0	0
0,0354816	0	0	0	0	0
0,0355328	0	0	0	0	0
0,0355840	0	0	0	0	0
0,0356352	0	0	0	0	0
0,0356864	0	0	0	0	0
0,0357376	0	0	0	0	0
0,0357888	0	0	0	0	0
0,0358399	0	0	0	0	0
0,0358912	0	0	0	0	0
0,0359424	0	0	0	0	0
0,0359936	0	0	0	0	0
0,0360448	0	0	0	0	0
0,0360960	0	0	0	0	0
0,0361472	0	0	0	0	0
0,0361984	0	0	0	0	0
0,0362496	0	0	0	0	0
0,0363008	0	0	0	0	0
0,0363520	0	0	0	0	0
0,0364031	0	0	0	0	0
0,0364544	0	0	0	0	0
0,0365056	0	0	0	0	0
0,0365568	0	0	0	0	0
0,0366080	0	0	0	0	0
0,0366592	0	0	0	0	0
0,0367104	0	0	0	0	0
0,0367616	0	0	0	0	0
0,0368128	0	0	0	0	0
0,0368640	0	0	0	0	0
0,0369152	0	0	0	0	0
0,0369664	0	0	0	0	0
0,0370176	0	0	0	0	0
0,0370688	0	0	0	0	0
0,0371200	0	0	0	0	0
0,0371712	0	0	0	0	0
0,0372224	0	0	0	0	0
0,0372735	0	0	0	0	0
0,0373248	0	0	0	0	0
0,0373760	0	0	0	0	0
0,0374272	0	0	0	0	0
0,0374784	0	0	0	0	0
0,0375296	0	0	0	0	0
0,0375808	0	0	0	0	0
0,0376320	0	0	0	0	0
0,0376832	0	0	0	0	0
0,0377344	0	0	0	0	0
0,0377856	0	0	0	0	0
0,0378367	0	0	0	0	0
0,0378880	0	0	0	0	0
0,0379392	0	0	0	0	0
0,0379904	0	0	0	0	0
0,0380416	0	0	0	0	0
0,0380928	0	0	0	0	0
0,0381440	0	0	0	0	0
0,0381952	0	0	0	0	0
0,0382464	0	0	0	0	0
0,0382976	0	0	0	0	0
0,0383488	0	0	0	0	0
0,0383999	0	0	0	0	0
0,0384512	0	0	0	0	0
0,0385024	0	0	0	0	0
0,0385536	0	0	0	0	0
0,0386048	0	0	0	0	0
0,0386560	0	0	0	0	0
0,0387072	0	0	0	0	0
0,0387584	0	0	0	0	0
0,0388096	0	0	0	0	0
0,0388608	0	0	0	0	0
0,0389120	0	0	0	0	0
0,0389632	0	0	0	0	0
0,0390144	0	0	0	0	0
0,0390656	0	0	0	0	0
0,0391168	0	0	0	0	0
0,0391680	0	0	0	0	0
0,0392192	0	0	0	0	0
0,0392703	0	0	0	0	0
0,0393216	0	0	0	0	0
0,0393728	0	0	0	0	0
0,0394240	0	0	0	0	0
0,0394752	0	0	0	0	0
0,0395264	0	0	0	0	0
0,0395776	0	0	0	0	0
0,0396288	0	0	0	0	0
0,0396800	0	0	0	0	0
0,0397312	0	0	0	0	0
0,0397824	0	0	0	0	0
0,0398335	0	0	0	0	0
0,0398848	0	0	0	0	0
0,0399360	0	0	0	0	0
0,0399872	0	0	0	0	0
0,0400384	0	0	0	0	0
0,0400896	0	0	0	0	0
0,0401408	0	0	0	0	0
0,0401920	0	0	0	0	0
0,0402432	0	0	0	0	0
0,0402944	0	0	0	0	0
0,0403456	0	0	0	0	0
0,0403967	0	0	0	0	0
0,0404480	0	0	0	0	0
0,0404992	0	0	0	0	0
0,0405504	0	0	0	0	0
0,0406016	0	0	0	0	0
0,0406528	0	0	0	0	0
0,0407040	0	0	0	0	0
0,0407552	0	0	0	0	0
0,0408064	0	0	0	0	0
0,0408576	0	0	0	0	0
0,0409088	0	0	0	0	0
0,0409600	0	0	0	0	0
0,0410112	0	0	0	0	0
0,0410624	0	0	0	0	0
0,0411136	0	0	0	0	0
0,0411648	0	0	0	0	0
0,0412160	0	0	0	0	0
0,0412671	0	0	0	0	0
0,0413184	0	0	0	0	0
0,0413696	0	0	0	0	0
0,0414208	0	0	0	0	0
0,0414720	0	0	0	0	0
0,0415232	0	0	0	0	0
0,0415744	0	0	0	0	0
0,0416256	0	0	0	0	0
0,0416768	0	0	0	0	0
0,0417280	0	0	0	0	0
0,0417792	0	0	0	0	0
0,0418303	0	0	0	0	0
0,0418816	0	0	0	0	0
0,0419328	0	0	0	0	0
0,0419840	0	0	0	0	0
0,0420352	0	0	0	0	0
0,0420864	0	0	0	0	0
0,0421376	0	0	0	0	0
0,0421888	0	0	0	0	0
0,0422400	0	0	0	0	0
0,0422912	0	0	0	0	0
0,0423424	0	0	0	0	0
0,0423935	0	0	0	0	0
0,0424448	0	0	0	0	0
0,0424960	0	0	0	0	0
0,0425472	0	0	0	0	0
0,0425984	0	0	0	0	0
0,0426496	0	0	0	0	0
0,0427008	0	0	0	0	0
0,0427520	0	0	0	0	0
0,0428032	0	0	0	0	0
0,0428544	0	0	0	0	0
0,0429056	0	0	0	0	0
0,0429568	0	0	0	0	0
0,0430080	0	0	0	0	0
0,0430592	0	0	0	0	0
0,0431104	0	0	0	0	0
0,0431616	0	0	0	0	0
0,0432128	0	0	0	0	0
0,0432639	0	0	0	0	0
0,0433152	0	0	0	0	0
0,0433664	0	0	0	0	0
0,0434176	0	0	0	0	0
0,0434688	0	0	0	0	0
0,0435200	0	0	0	0	0
0,0435712	0	0	0	0	0
0,0436224	0	0	0	0	0
0,0436736	0	0	0	0	0
0,0437248	0	0	0	0	0
0,0437760	0	0	0	0	0
0,0438271	0	0	0	0	0
0,0438784	0	0	0	0	0
0,0439296	0	0	0	0	0
0,0439808	0	0	0	0	0
0,0440320	0	0	0	0	0
0,0440832	0	0	0	0	0
0,0441344	0	0	0	0	0
0,0441856	0	0	0	0	0
0,0442368	0	0	0	0	0
