#Peripheral,Pin,Input Signal,i_idx,Output Signal,o_idx,Output Enable Signal,oe_idx,Pattern of signals to pin
UART,CTS,UART_CTS_N,,,,,,
UART,RTS,,,UART_RTS_N,,,,
USB,D0,USB_ULPI_DATA_I,0,USB_ULPI_DATA_O,0,USB_ULPI_DATA_OE,0,full
USB,D1,USB_ULPI_DATA_I,1,USB_ULPI_DATA_O,1,USB_ULPI_DATA_OE,1,
USB,D2,USB_ULPI_DATA_I,2,USB_ULPI_DATA_O,2,USB_ULPI_DATA_OE,2,
USB,D3,USB_ULPI_DATA_I,3,USB_ULPI_DATA_O,3,USB_ULPI_DATA_OE,3,
USB,D4,USB_ULPI_DATA_I,4,USB_ULPI_DATA_O,4,USB_ULPI_DATA_OE,4,
USB,D5,USB_ULPI_DATA_I,5,USB_ULPI_DATA_O,5,USB_ULPI_DATA_OE,5,
USB,D6,USB_ULPI_DATA_I,6,USB_ULPI_DATA_O,6,USB_ULPI_DATA_OE,6,
USB,D7,USB_ULPI_DATA_I,7,USB_ULPI_DATA_O,7,USB_ULPI_DATA_OE,7,
USB,CLK,USB_ULPI_CLK,,,,,,
USB,STP,,,USB_ULPI_STP,,,,
USB,DIR,USB_ULPI_DIR,,,,,,
USB,NXT,USB_ULPI_NXT,,,,,,
