"301K","SMR0402X02","1","R24","Resistor, 301K Ohm, ±1%, Thick Film, SMT, 0402, 0.063W, 100ppm/°C, 50V"
"32.768 KHz","ECS_ECX-306","1","Y1","Timing Crystal, 32.768KHz, ±20 PPM, 12.5pF, Fundamental, SMT"
"33u","Coiltronics_SDQ25","1","L7","Inductor, 33µH, ±20%, Dual Wind, Shield, SMT, 0.7A, 0.38 Ohm"
"4.7u","SML0603X07","8","L1, L2, L3, L4, L6, L9, L10, L11","Inductor, 4.7µH, ±10%, Chip, SMT, 0603, 260mA, 1.08 Ohms, 64MHz SRF"
"4.99K","SMR0402X02","2","R29, R30","Resistor, 4.99K Ohm, ±1%, Thick Film, SMT, 0402, 0.063W, 100ppm/°C, 50V"
"49.9","SMR0402X02","4","R1, R11, R47, R55","Resistor, 49.9 Ohm, ±1%, Thick Film, SMT, 0402, 0.063W, 100ppm/°C, 50V"
"52.3K","SMR0402X02","1","R19","Resistor, 52.3K Ohm, ±1%, Thick Film, SMT, 0402, 0.063W, 100ppm/°C, 50V"
"69.8K","SMR0402X02","1","R26","Resistor, 69.8K Ohm, ±1%, Thick Film, SMT, 0402, 0.063W, 100ppm/°C, 50V"
"74960-3018","MLX_74960-3018","1","J7","Conn, Receptacle, Triad Differential Pair, 18 pos, RA, SMT"
"75.0K","SMR0402X02","2","R20, R25","Resistor, 75.0K Ohm, ±1%, Thick Film, SMT, 0402, 0.063W, 100ppm/°C, 50V"
"75","SMR0402X02","6","R15, R16, R17, R28, R59, R60","Resistor, 75 Ohm, ±1%, Thick Film, SMT, 0402, 0.063W, 100ppm/°C, 50V"
"8.25K","SMR0402X02","2","R33, R34","Resistor, 8.25K Ohm, ±1%, Thick Film, SMT, 0402, 0.063W, 100ppm/°C, 50V"
"88.7K","SMR0402X02","1","R18","Resistor, 88.7K Ohm, ±1%, Thick Film, SMT, 0402, 0.063W, 100ppm/°C, 50V"
"90130-1220","HEADER 2X10","1","J4","Connector, Shrouded Header, 2.54mm Pitch, 10x2 Position, Vertical, Through-Hole, Black, Tin Plated"
"ACM3225-601-2P","ACM3225X23","1","T1","Choke, Common-Mode, 2 Pole, 1.0A, 600 Ohm @ 100 MHz, SMT"
"ADR444BRZ","SOIC8_127MM_4X5X175","2","U1, U12","IC, SMT, ADR444B, LDO XFET, Voltage Reference, 4.096V, 0.05%, 3ppm/°C, SO-8"
"AT45DB321D-MU","MLF8_5x6x1mm","1","U16","IC, AT45DB321D, 32 MBIT SPI Serial Flash, 8-Pin VDFN"
"FDV301N","SOT23X12","5","Q2, Q3, Q4, Q6, Q7","MOSFET, N-Channel, FDV301N, 25V, Low Vth, 0.22A, SMT, SOT23"
"HSMG-C170","SMCR0805X03","6","D1, D2, D4, D8, D9, D10","LED, Green, SMT, 0805, HSMG-C170"
"ISL4221EIRZ-T","QFN16_80mm_5x5x1mm-die","2","U11, U15","IC, ISL4221E, Single Channel RS232 Driver Receiver, 2.7V-5V, SMT, QFN16"
"K20XHT-B25S-N","K20XHT-B25S-N","2","J1, J2","Connector, SMT, D-Sub Receptacle, 90°, 25 Position, with Threaded Insert 4-40, Lead-free"
"KLDX-SMT-0202-AP","KLDX-SMT-0202-AP","1","J3","CONN,POWER JACK,2mm,SMT"
"KMBX-SMT-5S-S-30TR","KMB-SMT-5S-S-30TR","1","J8","Conn, Receptacle, USB, Mini-B, SMT, Black"
"LT3462ES6#PBF","SOT23-6X110","1","U8","IC, DC-DC VOLT INVERTER, 300mA, TSOT23-6"
"LTC2445CUHF#PBF","QFN38_50MMX08MM_RECT","2","U2, U13","IC, SMT, LTC2445, 24-Bit Delta Sigma ADC, 8-Channel, 38-Pin QFN"
"LTC6241HVCDD#PBF","DFN8_3X3X09mm-DIE","2","U3, U14","IC, SMT, LTC6241, Dual Op-Amp, CMOS, 18MHZ, Low Noise, 8-Pin DFN"
"MBR130T1G","SOD123X05","4","D3, D5, D6, D7","Diode, Schottky, SMT, MBR130, 30V, 1A, SOD-123"
"MMBT3906LT1G","SOT23X12","2","Q1, Q5","Transistor, MMBT3906, PNP, 40V, 200mA, SMT, SOT-23"
"NC7SZ32M5X","SOT23-5X14mm","1","U10","IC, NC7SZ32, UHS 2-Input OR Gate, 5-Pin SOT-23"
"SKQYAAE010","PAN_EVQPBA25","1","SW3","SWITCH,SPST,LIGHT TOUCH,EVQPPB"
"STM32F103CBT6","QFP48_9X9X16_5mm","1","U9","IC, STM32F103x, 32-bit ARM Cortex uC, 128K Flash, 72MHz, LQPF48, 7x7mm"
"TP-108-02-1-T","TP1206X06","6","TP6, TP8, TP18, TP19, TP20, TP21","Test Point, SMT, 1206, PhCuSn, Sn Plated, Tape and Reel"
"TPD2E001DRYR","SON6_1x15x06","1","D11","IC, SCR, TVS Dual Diode Array, TPD2E001, 11V, 1.5pF, SON-6"
"TPS3809K33DBVR","SOT23X15","1","U17","IC, TPS3809K33, Supply Voltage Supervisor, 2.93V, 3-Pin SOT-23"
"TPS61070DDCR","SOT23-6X110","1","U5","IC, 150mA BOOST CONVERTER, TSOT23-6"
"TPS72301DBVTG4","SOT23-5X145","1","U7","IC, Adj LDO Neg Volt Reg, High PSRR, 200mA, SOT23-5"
"TPS79301DBVR","SOT23-6X145","2","U4, U6","IC, Adj LDO Pos Volt Reg, High PSRR, 200mA, SOT23-6"
"TSW-112-08-G-S","HEADER 1X12","4","J50, J51, J52, J53","Conn, Pin Header, 1 Row, 12 Position, 0.1" Pitch, 10µ"Au Contact, 0.53" Long, PCB MNT, Unshrouded"
